profile pic,username_length,bio_description_length,external_URL,is_private,posts_count,followers_count,following_count,fake_or_real,followers_following_ratio
1,4.0,2,1,0,328,1393,6445,0,0.21610301
0,1.0,8,0,0,2,43,746,1,0.057563588
1,20.0,4,0,1,4,184,174,0,1.051428571
1,16.0,3,1,0,0,8,122,1,0.06504065
0,1.0,10,0,0,0,6,14,1,0.4
1,2.0,2,1,1,80,1020,989,0,1.03030303
1,2.0,8,1,1,580,91446,526,0,173.5218216
1,3.0,10,0,0,144,419,271,0,1.540441176
1,22.0,1,0,0,10,0,23,1,0.0
1,1.0,9,0,0,12,305,367,0,0.828804348
1,4.0,10,0,1,1,264,369,0,0.713513514
0,3.0,5,0,1,115,494,1089,0,0.453211009
0,3.0,7,0,0,0,57,76,1,0.74025974
1,21.0,6,1,0,515,19048,696,0,27.32855093
0,3.0,10,0,0,0,43,87,1,0.488636364
0,22.0,9,0,0,2,68,316,1,0.214511041
0,2.0,11,0,0,1,66,314,1,0.20952381
1,19.0,5,0,0,0,10,59,1,0.166666667
1,21.0,11,0,1,184,44455,3020,0,14.71532605
0,19.0,6,0,0,1,37,135,1,0.272058824
1,2.0,10,0,0,282,385,447,0,0.859375
1,3.0,7,1,0,100,1043,662,0,1.573152338
1,15.0,11,0,0,208,5439,592,0,9.172006745
0,1.0,4,0,0,0,0,71,1,0.0
1,18.0,2,0,1,5,66,161,1,0.407407407
0,3.0,3,0,1,0,16,23,1,0.666666667
0,2.0,9,1,0,0,17,1,1,8.5
1,17.0,1,1,1,91,408,635,0,0.641509434
1,4.0,5,0,0,71,515,465,0,1.105150215
0,1.0,9,0,1,0,7,20,1,0.333333333
0,2.0,3,0,1,11,23,39,1,0.575
0,23.0,8,0,0,0,0,69,1,0.0
0,1.0,2,0,0,0,4,10,1,0.363636364
1,15.0,1,0,1,3,13,38,1,0.333333333
1,15.0,10,0,0,111,807,675,0,1.193786982
1,17.0,1,0,0,110,177,170,0,1.035087719
1,4.0,3,0,0,319,91904,212,0,431.4741784
1,2.0,10,0,0,230,1367,1170,0,1.167378309
0,21.0,1,1,0,0,4,24,1,0.16
0,2.0,3,0,1,0,49,22,1,2.130434783
1,16.0,6,0,1,247,355,137,0,2.572463768
1,17.0,7,1,0,597,679,479,0,1.414583333
1,23.0,8,1,0,16,571,581,0,0.981099656
1,2.0,5,0,0,0,21,78,1,0.265822785
1,3.0,1,0,0,67,1990,2781,0,0.715312725
1,15.0,2,0,0,238,5189,661,0,7.83836858
1,15.0,5,0,1,74,513,473,0,1.082278481
0,3.0,2,0,1,6,219,244,1,0.893877551
1,15.0,2,0,0,290,528,1017,0,0.518664047
1,1.0,7,0,0,260,5065,674,0,7.503703704
1,22.0,2,0,0,0,32,232,1,0.137339056
1,4.0,5,1,0,66,1749,651,0,2.682515337
1,1.0,9,1,0,578,1414,5417,0,0.260981912
1,4.0,3,0,0,62,742,653,0,1.134556575
1,21.0,7,0,0,298,1054,524,0,2.007619048
1,20.0,3,0,1,20,748,344,0,2.168115942
1,17.0,6,1,1,121,537,635,0,0.844339623
0,15.0,9,0,1,5,143,241,1,0.590909091
1,17.0,2,1,1,119,393,502,0,0.781312127
1,22.0,6,0,1,6,148,123,0,1.193548387
0,19.0,8,0,1,2,376,397,1,0.944723618
1,15.0,8,0,0,68,116,133,0,0.865671642
0,21.0,8,0,0,0,10,182,1,0.054644809
0,15.0,5,0,0,0,12,118,1,0.100840336
0,17.0,10,0,0,0,61,59,1,1.016666667
0,1.0,1,0,1,0,47,9,1,4.7
0,16.0,10,0,0,0,15,1,1,7.5
1,4.0,7,0,0,27,257,318,0,0.805642633
1,21.0,5,0,1,421,1928,2535,0,0.760252366
0,1.0,1,0,1,0,6,14,1,0.4
0,23.0,11,1,0,2,15,750,1,0.019973369
0,2.0,11,1,0,76,233,1037,1,0.224470135
0,23.0,3,0,1,0,0,8,1,0.0
1,20.0,5,0,1,59,2587,871,0,2.966743119
1,19.0,4,0,1,80,1298,407,0,3.181372549
0,2.0,9,0,1,0,44,100,1,0.435643564
1,19.0,11,0,0,1,9,55,1,0.160714286
1,2.0,5,0,0,6,631,506,1,1.244575937
0,17.0,5,1,0,2,266,444,1,0.597752809
0,18.0,4,0,0,0,7,93,1,0.074468085
0,21.0,8,1,0,8,158,432,1,0.364896074
0,2.0,7,0,0,4,308,320,1,0.959501558
0,2.0,10,0,0,0,32,24,1,1.28
0,1.0,6,1,1,0,2,8,1,0.222222222
1,2.0,11,0,0,57,11114,791,0,14.03282828
1,19.0,8,0,0,53,1266,483,0,2.615702479
1,2.0,6,1,0,20,200,162,1,1.226993865
0,4.0,7,1,1,12,106,485,1,0.218106996
0,22.0,11,1,1,1,25,213,1,0.11682243
1,2.0,8,0,1,9,207,206,0,1.0
1,21.0,8,0,1,72,1824,2713,0,0.672070744
0,18.0,7,0,1,8,2,213,1,0.009345794
0,3.0,6,1,0,0,4,36,1,0.108108108
0,23.0,1,0,0,0,50,1,1,25.0
1,2.0,6,1,0,4,59,111,0,0.526785714
1,21.0,1,0,0,100,741,1438,0,0.514940931
0,3.0,11,1,0,0,0,73,1,0.0
1,21.0,11,0,0,77,137,95,0,1.427083333
1,16.0,8,0,1,373,110082,114,0,957.2347826
1,2.0,5,0,0,2,1204,633,0,1.899053628
1,1.0,3,0,0,18,114,319,1,0.35625
1,21.0,6,0,0,164,2701,757,0,3.563324538
1,1.0,4,0,0,64,1110,2574,0,0.431067961
1,22.0,5,0,0,0,10,59,1,0.166666667
1,23.0,3,0,1,554,102571,395,0,259.0176768
0,1.0,5,1,0,6,123,482,1,0.254658385
1,21.0,5,1,1,391,789,398,0,1.977443609
1,18.0,6,0,1,73,1766,639,0,2.759375
0,1.0,2,0,0,0,0,178,1,0.0
0,24.0,5,1,0,1,50,32,1,1.515151515
0,17.0,2,0,1,0,9,778,1,0.011553273
1,16.0,8,0,0,15,263,1705,1,0.154161782
1,20.0,8,0,0,21,135,334,1,0.402985075
1,23.0,11,0,0,93,1051,694,0,1.512230216
1,3.0,1,0,1,22,49,86,0,0.563218391
1,21.0,5,1,0,0,57,73,1,0.77027027
0,18.0,2,1,1,4,241,457,1,0.526200873
1,22.0,7,1,0,222,5282,652,0,8.088820827
1,24.0,8,0,0,388,730,413,0,1.763285024
0,4.0,3,0,0,0,30,26,1,1.111111111
1,1.0,3,0,0,18,231,254,1,0.905882353
0,4.0,10,0,1,0,2,9,1,0.2
0,23.0,10,0,0,0,20,2,1,6.666666667
0,2.0,11,0,0,0,3033,1155,1,2.623702422
1,23.0,4,0,0,28,1274,611,0,2.081699346
1,4.0,11,0,0,8,402,263,0,1.522727273
0,4.0,7,0,1,0,2,0,1,2.0
0,1.0,4,1,0,0,12,0,1,12.0
0,3.0,11,0,0,0,78,759,1,0.102631579
1,4.0,3,0,0,24,314,529,0,0.59245283
1,4.0,11,0,0,911,888,515,0,1.720930233
1,4.0,10,0,1,85,73,155,0,0.467948718
1,24.0,8,0,0,69,72,39,1,1.8
0,2.0,4,0,0,6,154,429,1,0.358139535
1,22.0,3,1,0,12,109,308,1,0.352750809
0,23.0,1,0,0,0,59,67,1,0.867647059
1,19.0,5,0,0,153,138,74,0,1.84
1,1.0,4,0,0,78,1279,237,0,5.37394958
1,2.0,6,0,0,4,72,165,1,0.43373494
0,4.0,5,0,1,0,77,428,1,0.179487179
1,3.0,11,1,0,85,7136,293,0,24.27210884
1,4.0,7,0,1,817,2727,854,0,3.189473684
0,3.0,1,0,1,5,81,857,1,0.094405594
0,19.0,5,0,0,0,0,10,1,0.0
1,20.0,6,0,0,115,2567,798,0,3.212765957
0,15.0,7,0,0,2,29,57,1,0.5
1,15.0,9,0,1,20,44955,925,0,48.5475162
1,3.0,6,0,0,37,216,156,1,1.375796178
1,3.0,7,0,0,1,89,25,0,3.423076923
1,18.0,9,0,0,10,108,305,1,0.352941176
1,4.0,7,0,0,13,105,127,0,0.8203125
1,17.0,3,0,0,0,6,118,1,0.050420168
1,3.0,1,0,0,719,744,967,0,0.768595041
0,15.0,7,0,0,0,47,97,1,0.479591837
1,22.0,4,0,0,143,257,207,0,1.235576923
1,2.0,3,0,0,199,1085,1063,0,1.019736842
1,4.0,11,1,0,153,9220,585,0,15.7337884
0,4.0,3,0,1,1,48,125,1,0.380952381
0,24.0,3,0,0,5,58,38,1,1.487179487
1,2.0,10,0,0,15,420,568,0,0.738137083
0,1.0,11,0,0,0,25,47,1,0.520833333
1,19.0,5,0,0,136,916,1142,0,0.801399825
1,20.0,7,0,0,63,1141,1918,0,0.594580511
0,19.0,4,1,1,0,12,5,1,2.0
1,15.0,6,0,0,288,346372,450,0,768.0088692
1,1.0,8,0,0,7380,890695,11,0,74224.58333
1,20.0,11,0,0,47,95,707,1,0.134180791
1,1.0,1,0,1,380,3739,1643,0,2.2743309
0,1.0,1,0,0,3,38,67,1,0.558823529
1,1.0,2,0,0,28,206,333,0,0.616766467
0,1.0,8,0,0,12,188,820,1,0.228989038
0,20.0,10,0,0,0,16,25,1,0.615384615
1,4.0,5,0,1,14,560,612,0,0.913539967
1,17.0,4,0,0,220,3182,3239,0,0.982098765
0,2.0,10,0,0,5,59,37,1,1.552631579
1,21.0,3,1,0,166,600,472,0,1.268498943
1,1.0,11,0,0,88,1391,494,0,2.81010101
0,21.0,5,0,0,0,17,0,1,17.0
0,1.0,4,1,0,4,18,57,1,0.310344828
1,21.0,2,0,1,8,307,393,0,0.779187817
1,2.0,9,0,0,71,1184,1915,0,0.617954071
1,1.0,3,0,1,246,5146,665,0,7.726726727
1,4.0,2,0,0,680,23121,897,0,25.74721604
1,18.0,1,0,1,95,884,4598,0,0.192215699
0,1.0,3,0,0,0,39,42,1,0.906976744
0,3.0,2,0,0,0,15,0,1,15.0
1,20.0,5,0,0,1,12,23,1,0.5
1,1.0,5,0,0,10,131,99,0,1.31
1,2.0,1,0,1,18,755,364,0,2.068493151
1,23.0,6,0,0,147,3533,582,0,6.060034305
1,4.0,11,0,0,77,890,1661,0,0.535499398
0,20.0,4,1,0,2,11,36,1,0.297297297
1,1.0,5,0,1,126,4544,471,0,9.627118644
1,18.0,8,0,0,5,182,227,1,0.798245614
1,23.0,8,1,1,8,92,125,0,0.73015873
1,22.0,6,0,0,379,1177,1857,0,0.633476857
1,2.0,7,0,1,185,2957,468,0,6.304904051
1,3.0,4,0,0,4,104,111,0,0.928571429
0,24.0,10,0,0,0,83,416,1,0.199040767
1,22.0,4,0,1,6,173,167,0,1.029761905
1,3.0,1,1,0,37,405,267,0,1.51119403
1,3.0,3,0,0,18,111,148,0,0.744966443
1,24.0,2,1,0,52,750,539,0,1.388888889
0,24.0,2,0,0,1,50,60,1,0.819672131
1,4.0,6,1,0,38,870,72,0,11.91780822
1,17.0,2,0,0,54,3645,212,0,17.11267606
1,24.0,7,1,0,132,1708,990,0,1.723511604
0,22.0,1,0,0,0,23,26,1,0.851851852
1,2.0,2,0,0,298,945,583,0,1.618150685
0,19.0,8,0,1,63,626,1026,0,0.609542356
1,24.0,4,0,0,13,8,53,1,0.148148148
1,23.0,1,0,0,41,693,656,0,1.054794521
1,1.0,3,0,0,237,2845,501,0,5.667330677
0,1.0,11,0,0,6,32,727,1,0.043956044
1,20.0,2,0,0,33,203,345,0,0.586705202
0,4.0,11,0,0,1,49,15,1,3.0625
0,4.0,4,0,0,56,309,1242,1,0.248592116
0,3.0,3,0,0,174,490,1003,0,0.488047809
1,3.0,7,1,1,20,266,326,0,0.813455657
1,19.0,10,0,0,10,124,448,0,0.276169265
0,17.0,10,0,0,0,57,75,1,0.75
1,15.0,8,0,0,962,517,1025,0,0.503898635
1,18.0,11,1,1,0,10,59,1,0.166666667
1,3.0,1,0,0,19,188,414,0,0.453012048
0,17.0,9,0,0,0,14,542,1,0.025782689
1,18.0,1,0,0,0,75,26,1,2.777777778
0,22.0,6,1,0,22,884,250,1,3.521912351
1,20.0,1,0,1,391,1170,1984,0,0.589420655
1,21.0,2,0,1,181,1077,1052,0,1.022792023
0,17.0,9,0,1,0,39,4,1,7.8
1,21.0,1,0,0,599,251992,33,0,7411.529412
1,1.0,11,0,0,13,74,107,0,0.685185185
1,2.0,3,0,0,224,1089,1891,0,0.575581395
0,16.0,11,1,0,5,216,794,1,0.271698113
1,1.0,1,0,0,113,540,685,0,0.787172012
1,2.0,6,0,0,92,484,3296,0,0.146800121
0,4.0,3,0,1,0,20,7,1,2.5
0,1.0,10,0,0,0,0,43,1,0.0
1,23.0,7,0,1,89,1027,2259,0,0.454424779
0,19.0,8,1,0,0,4,11,1,0.333333333
0,4.0,8,0,0,0,16,25,1,0.615384615
0,17.0,5,0,0,3,4,34,1,0.114285714
0,21.0,1,0,1,0,16,42,1,0.372093023
1,4.0,4,0,0,30,56,114,0,0.486956522
1,18.0,8,1,1,99,802,150,0,5.311258278
0,20.0,6,0,0,0,24,22,1,1.043478261
0,2.0,4,0,0,2,5,15,1,0.3125
1,15.0,3,0,0,10,120,100,0,1.188118812
0,15.0,7,0,0,0,11,1,1,5.5
1,19.0,1,0,0,51,504,682,0,0.737920937
1,1.0,4,0,0,433,762,3558,0,0.214105086
1,19.0,10,0,0,118,267,335,0,0.794642857
1,20.0,7,0,1,9,88,120,0,0.727272727
0,16.0,4,0,0,0,15,0,1,15.0
0,1.0,8,1,1,0,28,7,1,3.5
0,23.0,8,0,0,0,32,22,1,1.391304348
1,4.0,8,0,1,17,84,720,1,0.116504854
1,16.0,6,0,0,161,465,1027,0,0.45233463
0,20.0,4,0,0,0,72,340,1,0.211143695
1,18.0,3,0,1,25,70,64,1,1.076923077
1,16.0,3,1,0,16,164,174,0,0.937142857
1,24.0,10,1,1,47,1823,495,0,3.675403226
0,1.0,1,0,0,4,17,20,1,0.80952381
0,4.0,10,0,0,1,50,37,1,1.315789474
0,3.0,2,0,0,0,48,0,1,48.0
0,16.0,4,1,0,0,39,151,1,0.256578947
1,21.0,9,0,0,28,1031,208,1,4.933014354
1,1.0,9,0,0,1,66,161,1,0.407407407
1,2.0,1,0,1,91,503,509,0,0.98627451
0,16.0,6,0,0,0,8,6,1,1.142857143
1,2.0,5,1,0,132,1760,895,0,1.964285714
1,4.0,11,0,0,31,301,365,0,0.822404372
1,3.0,7,0,0,1,20,52,1,0.377358491
0,16.0,1,0,0,0,50,58,1,0.847457627
1,3.0,8,0,1,6,99,131,0,0.75
0,2.0,8,0,1,0,2,72,1,0.02739726
0,19.0,4,0,0,1,0,11,1,0.0
1,4.0,11,0,0,384,645374,414,0,1555.118072
1,4.0,4,0,0,517,118469,209,0,564.1380952
0,2.0,4,0,0,2,36,134,1,0.266666667
0,2.0,9,1,0,0,10,56,1,0.175438596
0,3.0,2,0,0,0,0,0,1,0.0
1,3.0,5,0,0,0,21,76,1,0.272727273
1,21.0,11,0,0,353,690348,219,0,3137.945455
1,15.0,8,1,0,35,980,74,0,13.06666667
0,1.0,3,0,0,5,124,483,1,0.256198347
0,3.0,4,0,1,0,2,29,1,0.066666667
1,4.0,9,0,1,64,978,963,0,1.014522822
0,3.0,7,0,1,2,271,445,1,0.607623318
0,4.0,11,0,1,0,4,16,1,0.235294118
1,15.0,8,0,0,0,13,77,0,0.166666667
0,16.0,5,0,0,8,158,432,1,0.364896074
0,1.0,10,0,1,5,7,47,1,0.145833333
1,4.0,8,1,0,685,465,700,0,0.663338088
1,1.0,9,0,0,12,305,366,0,0.83106267
0,18.0,8,0,0,0,23,40,1,0.56097561
1,4.0,10,0,0,698,1926,1410,0,1.364989369
0,21.0,8,0,0,0,31,23,1,1.291666667
1,17.0,6,1,0,258,1149,2133,0,0.538425492
1,4.0,4,0,0,1,55,35,0,1.527777778
1,16.0,4,0,1,37,216,155,1,1.384615385
1,1.0,9,0,0,17,536,665,0,0.804804805
0,17.0,4,0,1,19,77,8,1,8.555555556
1,3.0,5,0,0,103,412,283,0,1.450704225
0,18.0,5,0,0,0,19,42,1,0.441860465
0,4.0,2,1,0,0,35,63,1,0.546875
0,1.0,4,0,0,1,18,17,1,1.0
1,2.0,1,0,0,9,216,75,0,2.842105263
1,19.0,2,0,0,962,504,1058,0,0.47592068
1,18.0,2,0,1,3,182,74,0,2.426666667
1,3.0,10,0,0,0,40,231,1,0.172413793
0,2.0,11,0,0,0,19,0,1,19.0
1,20.0,7,1,1,15,428,333,0,1.281437126
1,3.0,11,1,0,19,101,128,0,0.782945736
0,23.0,8,1,0,0,44,770,1,0.057068742
0,18.0,10,0,1,0,25,25,1,0.961538462
0,17.0,9,1,0,1,93,327,1,0.283536585
1,4.0,5,0,0,105,1794,780,0,2.297055058
1,3.0,1,0,1,32,202,173,0,1.16091954
1,16.0,1,0,0,217,3182,840,0,3.783590963
1,4.0,9,0,0,92,676,1003,0,0.673306773
0,18.0,5,1,0,0,23,26,1,0.851851852
0,4.0,6,0,0,0,48,6,1,6.857142857
1,22.0,1,0,0,59,130,96,0,1.340206186
0,4.0,11,0,1,23,211,328,0,0.641337386
1,4.0,9,0,0,300,2155,1097,0,1.962659381
0,16.0,1,0,0,0,6,74,1,0.08
0,20.0,3,0,1,2,51,61,1,0.822580645
1,16.0,6,0,0,122,539,639,0,0.8421875
1,4.0,2,1,1,642,6485438,106,0,60611.57009
1,21.0,3,1,0,67,1814,613,0,2.954397394
1,4.0,1,1,0,80,1265,2955,0,0.427943166
1,21.0,2,0,0,211,1429,629,0,2.268253968
0,1.0,11,0,0,18,355,2208,1,0.160706202
0,2.0,8,0,1,0,5,12,1,0.384615385
1,2.0,1,0,0,210,1922,1090,0,1.761686526
0,21.0,4,0,0,3,35,20,1,1.666666667
1,3.0,7,0,0,117,1458,570,0,2.553415061
1,18.0,7,0,1,87,363,548,0,0.661202186
1,17.0,7,0,0,122,16,300,1,0.053156146
1,21.0,2,0,1,15,105,129,0,0.807692308
1,21.0,7,0,0,6,154,306,0,0.501628664
1,1.0,1,0,1,50,149,245,0,0.605691057
0,1.0,4,0,0,0,42,46,1,0.893617021
1,4.0,10,0,0,44,85,165,1,0.512048193
1,21.0,4,0,1,262,637,695,0,0.915229885
0,4.0,11,0,1,2,0,77,1,0.0
1,2.0,3,1,1,55,801,493,0,1.62145749
1,18.0,2,1,0,378,34638,1875,0,18.46375267
0,20.0,11,0,0,0,0,71,1,0.0
0,15.0,10,0,0,0,15,0,1,15.0
1,1.0,5,1,0,9,218,75,0,2.868421053
0,24.0,5,1,0,7,1,217,1,0.004587156
1,20.0,7,0,1,1,42,136,1,0.306569343
0,22.0,7,0,0,0,3019,1001,1,3.012974052
1,4.0,5,0,1,23,697,609,0,1.142622951
0,1.0,7,0,0,1,38,106,1,0.355140187
1,1.0,3,0,0,102,411,331,0,1.237951807
1,2.0,2,0,1,13,177,246,0,0.71659919
1,15.0,9,0,1,116,1026,592,0,1.730185497
0,4.0,1,0,1,0,43,86,1,0.494252874
1,1.0,7,0,0,38,86,251,0,0.341269841
1,18.0,7,0,0,393,34468,2026,0,17.00444006
0,23.0,1,0,1,0,51,24,1,2.04
0,20.0,5,0,0,0,351,2663,1,0.131756757
1,19.0,1,0,1,105,203,35,0,5.638888889
1,20.0,4,0,1,3,122,152,1,0.797385621
1,24.0,11,0,0,27,501,475,0,1.052521008
0,4.0,10,0,1,0,0,10,1,0.0
1,4.0,8,0,0,222,5282,652,0,8.088820827
0,3.0,3,0,0,0,0,11,1,0.0
1,3.0,11,0,0,68,577,456,0,1.262582057
0,3.0,9,0,0,1,0,226,1,0.0
1,3.0,10,0,0,142,876,529,0,1.652830189
0,4.0,7,0,0,0,46,3,1,11.5
0,20.0,11,0,1,0,50,31,1,1.5625
1,4.0,3,0,0,38,162,256,0,0.630350195
1,21.0,1,0,0,562,660,1111,0,0.59352518
1,23.0,4,0,0,63,484,1187,0,0.407407407
1,1.0,6,0,1,11,310,361,0,0.856353591
1,18.0,5,0,1,57,187,65,0,2.833333333
1,22.0,5,0,0,18,164,93,0,1.744680851
0,20.0,7,1,0,22,204,807,1,0.252475248
1,2.0,8,0,1,156,8578,164,0,51.98787879
1,3.0,3,1,0,77,565,469,0,1.20212766
1,2.0,9,0,0,303,104327,82,0,1256.951807
0,2.0,7,0,0,0,48,0,1,48.0
0,19.0,3,0,0,0,62,767,1,0.080729167
1,22.0,9,1,0,69,7023,325,0,21.54294479
1,17.0,8,0,0,15,49,138,1,0.352517986
1,24.0,5,0,0,2,270,370,0,0.727762803
1,15.0,7,0,0,121,267,348,0,0.76504298
0,22.0,9,0,0,3,109,275,1,0.394927536
0,18.0,5,0,1,0,10,3,1,2.5
1,23.0,1,0,1,10,107,99,0,1.07
1,18.0,8,0,0,249,1195,2097,0,0.569590086
1,3.0,6,0,0,940,576872,531,0,1084.345865
1,22.0,8,0,1,20,169,225,0,0.747787611
0,16.0,11,0,1,0,2756,784,1,3.510828025
1,17.0,10,0,1,219,1022,1976,0,0.516944866
0,4.0,1,1,0,0,16,42,1,0.372093023
1,17.0,4,0,1,58,141,237,0,0.592436975
0,3.0,6,0,0,0,59,31,1,1.84375
1,16.0,9,1,0,6,202,235,1,0.855932203
0,20.0,11,1,1,4,54,48,1,1.102040816
0,22.0,7,0,0,0,64,743,1,0.086021505
1,19.0,8,0,0,20,297,371,0,0.798387097
0,4.0,1,1,0,0,57,130,1,0.435114504
1,18.0,4,1,0,7,96,129,0,0.738461538
1,3.0,7,1,0,5,9,80,1,0.111111111
0,19.0,7,0,0,0,24,87,1,0.272727273
1,1.0,5,0,1,15,453,411,0,1.099514563
1,3.0,3,0,0,713,752,4651,0,0.161650903
1,23.0,9,0,1,3,34,30,0,1.096774194
1,20.0,3,0,1,411,31182,414,0,75.1373494
0,1.0,10,0,0,1,129,121,1,1.057377049
0,24.0,5,0,0,0,2,2,1,0.666666667
1,18.0,7,0,0,78,1728,1511,0,1.142857143
0,2.0,9,0,1,0,54,128,1,0.418604651
0,3.0,7,1,0,0,33,24,1,1.32
0,2.0,9,0,1,9,99,250,1,0.394422311
1,15.0,4,1,0,156,92192,16,0,5423.058824
0,15.0,8,0,0,2,26,50,1,0.509803922
1,1.0,7,0,1,63,416,292,0,1.419795222
1,2.0,7,0,0,8,104,123,0,0.838709677
1,15.0,2,0,0,29,25,39,1,0.625
1,4.0,7,0,1,7,100,126,0,0.787401575
1,23.0,3,0,0,116,1032,531,0,1.939849624
0,4.0,4,0,1,1,42,133,1,0.313432836
1,2.0,6,0,1,707,737,1006,0,0.731876862
0,4.0,2,0,1,0,0,0,1,0.0
0,2.0,7,0,0,0,16,51,1,0.307692308
0,18.0,7,0,1,0,38,68,1,0.550724638
1,4.0,8,1,0,56,980,998,0,0.980980981
0,4.0,6,1,0,0,50,41,1,1.19047619
1,21.0,11,0,1,32,165,592,1,0.278246206
0,3.0,7,0,0,2,9,34,1,0.257142857
1,15.0,4,1,1,25,553,610,0,0.90507365
0,1.0,8,0,1,0,20,7,1,2.5
1,17.0,5,0,1,32,181,391,0,0.461734694
1,4.0,1,0,0,27,162,208,0,0.775119617
1,4.0,5,0,1,183,7092,705,0,10.04532578
1,2.0,2,0,0,330,1005,3681,0,0.272949484
1,3.0,6,0,1,20,398,251,0,1.579365079
1,4.0,8,0,0,163,1583,1390,0,1.138030194
1,16.0,1,0,0,2,73,166,1,0.437125749
1,1.0,2,1,0,493,5349600,2641,0,2024.829674
1,20.0,4,0,0,3,261,359,0,0.725
1,3.0,6,0,0,351,35455,1765,0,20.07644394
1,2.0,6,0,0,63,384,447,0,0.857142857
1,1.0,10,0,0,179,910,741,0,1.226415094
1,21.0,2,0,0,266,283,402,0,0.702233251
1,22.0,9,1,1,232,1312,935,0,1.401709402
0,19.0,11,1,0,8,39,17,1,2.166666667
0,4.0,8,1,1,0,76,138,1,0.54676259
0,2.0,6,0,1,0,15,39,1,0.375
0,24.0,4,1,0,3,24,108,1,0.220183486
1,3.0,2,0,1,115,1333,462,0,2.879049676
1,18.0,1,0,0,17,742,540,0,1.371534196
1,20.0,10,0,0,41,805,488,0,1.646216769
1,16.0,6,0,1,3,76,168,1,0.449704142
0,24.0,8,0,0,2,28,109,1,0.254545455
0,3.0,11,0,1,0,85,31,1,2.65625
0,15.0,10,1,0,0,0,71,1,0.0
0,2.0,2,1,1,5,289,409,1,0.704878049
1,16.0,9,0,0,0,6,229,1,0.026086957
1,17.0,3,0,1,56,143,239,0,0.595833333
